Dish Name,Image File,Restaurant,web link,Status,Categories,Costos,Reservaciones,Carta
Cacao con Mango ,Amaz-CacaoQuemadoConMango.jpg,Amaz,http://amaz.com.pe/,Desactivado,"Amazonica, Autor",,,
Paiche con aji negro,Malabar-PaicheConAjiNegro.jpg,Malabar,http://malabar.com.pe/,Activado,Amazonica,,http://malabar.com.pe/reserva/,http://malabar.com.pe/carta/
Lomito de cerdo y panceta ahumada con boronia,Malabar-LomitoDeCerdoYPancetaAhumadaConBoronia.jpg,Malabar,http://malabar.com.pe/,Activado,Amazonica,,http://malabar.com.pe/reserva/,http://malabar.com.pe/carta/
CorderoConPiedrasDelCamino,Malabar-CorderoConPiedrasDelCamino.jpg,Malabar,http://malabar.com.pe/,"desactivado,autor","Autor, Andina",,,
Pasta Primavera,Factoria-PastaPrimavera.jpg,Factoria,http://www.factoria1075.com/,Desactivado,Italiana,,,
Conchas con Umari,Malabar-ConchasConUmari.jpg,Malabar,http://malabar.com.pe/,"desactivado,amazonica","Autor, Amazonica",,,
Ensalada de Chonta,Malabar-EnsaladaDeChota.jpg,Malabar,http://malabar.com.pe/,"desactivado,amazonica","Autor, Amazonica",,,
Manifesto del Cordero de Candarave Confitado,Manifiesto-CorderoDeCandaraveConfitado,Manifiesto,http://www.manifiesto.pe/,Activado,"Autor , Andino",,http://www.manifiesto.pe/contacto,http://www.manifiesto.pe/carta
Pato a la Memepa,Malabar-PatoALaMemepa.jpg,Malabar,http://malabar.com.pe/,Activado,Autor,,http://malabar.com.pe/reserva/,http://malabar.com.pe/carta/
Lomo saltado,BrujasDeCachiche-LomoSaltado.jpg,Brujas de Cachiche,http://www.brujasdecachiche.com.pe/,Activado,Criolla ,,http://www.brujasdecachiche.com.pe/,http://www.brujasdecachiche.com.pe/
Seco de cabrito con arroz y frejoles,BrujasDeCachiche-SecoDeCabritoConArrozYFrejoles.jpg,Brujas de Cachiche,http://www.brujasdecachiche.com.pe/,Activado,Criolla,,http://www.brujasdecachiche.com.pe/,http://www.brujasdecachiche.com.pe/
Salmon Grillado,Factoria-SalmonGrillado.jpg,Factoria,http://www.factoria1075.com/,Desactivado,Internacional,,,
Carpaccio de Pato,Saqra-CarpacionDePato.jpg,Saqra,http://saqra.pe/,Desactivado,Italiana,,,
Pez Espada a la Parrilla,BravoRestobar-PezEspadaALaParrilla.jpg,Bravo Restobar,http://www.bravorestobar.com/,Activado,Marina,,http://www.bravorestobar.com/,http://www.bravorestobar.com/
Pollo a la Florentina,NexxtParis-PolloALaFlorentina.jpg,Nexxt Paris,http://nexxtparis.com/,Desactivado,Italiana,,,
Lomo de la Nonna,Vivaldino-LomoDeLaNonna.jpg,Vivaldino,http://vivaldino.com/,Activado,Italiana,,https://www.facebook.com/vivaldino.restaurantes,https://www.facebook.com/vivaldino.restaurantes
Penne Rigatti al Pomodoro,Cala-PenneRigattiAlPomodoro.jpg,Cala,http://www.calarestaurante.com/,Activado,Italiana,,http://www.calarestaurante.com/,http://www.calarestaurante.com/
Risotto con aroma de trufas,Carnal-RisottoConAromaDeTrufas.jpg,Carnal,http://www.carnalprime.com/,Activado,Italiana,,http://www.carnalprime.com/,http://www.carnalprime.com/
Milanesa Palermitana Acholada,Danica-MilanesaPalermitanaAcholada.jpg,Danica,http://danica.pe,Desactivado,Italiana,,,
Spaghetti Frutti di Mare,Traviata-SpaghettiFruttiDiMare.jpg,La Traviata,https://www.facebook.com/LaTraviataRestaurant?fref=ts,Desactivado,Italiana,,,
Panzotti de Alcachofas agli Oleo,Traviata-PanzottiDeAlcashofasAgliOleo.jpg,La Traviata,https://www.facebook.com/LaTraviataRestaurant?fref=ts,Desactivado,Italiana,,,
Osobuco con Pastel de Papas,Danica-OsubucoConPastelDePapas.jpg,Danica,http://danica.pe,Activado,Italiana,,http://danica.pe/reserva_en_linea.php,http://danica.pe/nuestra_carta.php
Sashimi en Salsa de Wasabi,Sushiito-SashimiEnSalsaDeWasabi.jpg,Sushiito,http://www.sushi-ito.com/,Desactivado,Japonesa,,,
Ceviche Hanzo,Hanzo-CevicheHanzo.jpg,Hanzo,http://www.hanzo.com.pe/,Desactivado,"Japonesa, Marina, Autor",,,
Coctel de Langostinos al Plato,LaRosaNautica-CoctelDeLangostinosAlPlato.jpg,La Rosa Nautica,http://www.larosanautica.com/,"Desactivado, marina","Marina, Internacional",,,
Monte Fuyi,Ache-MonteFuyi.jpg,Ache,https://www.facebook.com/achecocinanikkei?fref=ts,Desactivado,Nikkei,,,
